Date,Price,Open,High,Low,Change %
2020-12-31,0.7694,0.7686,0.7743,0.7678,0.13%
2020-12-30,0.7684,0.7606,0.7688,0.7602,1.04%
2020-12-29,0.7605,0.7579,0.7625,0.7577,0.37%
2020-12-28,0.7577,0.7584,0.7624,0.7556,-0.29%
2020-12-25,0.7599,0.7597,0.7614,0.7575,0.04%
2020-12-24,0.7596,0.7574,0.7607,0.7566,0.32%
2020-12-23,0.7572,0.7523,0.7592,0.7516,0.68%
2020-12-22,0.7521,0.7584,0.7592,0.7516,-0.84%
2020-12-21,0.7585,0.7598,0.761,0.7462,-0.51%
2020-12-18,0.7624,0.7622,0.763,0.7582,0.04%
2020-12-17,0.7621,0.7577,0.7641,0.7566,0.59%
2020-12-16,0.7576,0.7559,0.758,0.7538,0.25%
2020-12-15,0.7557,0.7535,0.7573,0.7506,0.27%
2020-12-14,0.7537,0.7539,0.758,0.7524,0.05%
2020-12-11,0.7533,0.7534,0.7574,0.752,0.00%
2020-12-10,0.7533,0.7449,0.7541,0.7426,1.18%
2020-12-09,0.7445,0.7412,0.7487,0.7404,0.46%
2020-12-08,0.7411,0.7422,0.7437,0.7398,-0.12%
2020-12-07,0.742,0.7435,0.7455,0.7372,-0.01%
2020-12-04,0.7421,0.7438,0.7445,0.7409,-0.23%
2020-12-03,0.7438,0.7413,0.7451,0.7397,0.31%
2020-12-02,0.7415,0.7371,0.7421,0.7351,0.62%
2020-12-01,0.7369,0.7345,0.7375,0.734,0.33%
2020-11-30,0.7345,0.7393,0.7408,0.7339,-0.56%
2020-11-27,0.7386,0.7363,0.7401,0.7351,0.34%
2020-11-26,0.7361,0.7364,0.7376,0.7352,-0.03%
2020-11-25,0.7363,0.7359,0.7375,0.7325,0.04%
2020-11-24,0.736,0.7286,0.7369,0.7283,1.03%
2020-11-23,0.7285,0.7305,0.7339,0.7265,-0.23%
2020-11-20,0.7302,0.7288,0.7326,0.7265,0.21%
2020-11-19,0.7287,0.7305,0.7308,0.7254,-0.25%
2020-11-18,0.7305,0.7301,0.7333,0.7272,0.10%
2020-11-17,0.7298,0.7319,0.734,0.7289,-0.27%
2020-11-16,0.7318,0.7262,0.7327,0.7254,0.69%
2020-11-13,0.7268,0.7232,0.7275,0.7221,0.51%
2020-11-12,0.7231,0.7282,0.7294,0.7222,-0.65%
2020-11-11,0.7278,0.7284,0.7319,0.726,-0.08%
2020-11-10,0.7284,0.7287,0.7296,0.7252,-0.01%
2020-11-09,0.7285,0.7255,0.7341,0.7255,0.41%
2020-11-06,0.7255,0.7283,0.7289,0.7239,-0.37%
2020-11-05,0.7282,0.7183,0.729,0.7145,1.52%
2020-11-04,0.7173,0.7164,0.7222,0.7049,0.18%
2020-11-03,0.716,0.7056,0.7176,0.7027,1.52%
2020-11-02,0.7053,0.7034,0.7059,0.6991,0.38%
2020-10-30,0.7026,0.703,0.7074,0.701,-0.03%
2020-10-29,0.7028,0.7045,0.7078,0.7002,-0.23%
2020-10-28,0.7044,0.7126,0.7158,0.7038,-1.18%
2020-10-27,0.7128,0.7124,0.7149,0.7114,0.08%
2020-10-26,0.7122,0.7129,0.7147,0.7103,-0.18%
2020-10-23,0.7135,0.7118,0.716,0.71,0.28%
2020-10-22,0.7115,0.7117,0.7127,0.7085,-0.03%
2020-10-21,0.7117,0.7048,0.7138,0.7046,1.01%
2020-10-20,0.7046,0.7068,0.7074,0.702,-0.30%
2020-10-19,0.7067,0.7088,0.7116,0.7057,-0.18%
2020-10-16,0.708,0.7094,0.7099,0.707,-0.17%
2020-10-15,0.7092,0.7162,0.7172,0.7056,-0.98%
2020-10-14,0.7162,0.716,0.7192,0.7151,0.03%
2020-10-13,0.716,0.7209,0.7214,0.715,-0.65%
2020-10-12,0.7207,0.7225,0.7237,0.7203,-0.44%
2020-10-09,0.7239,0.7168,0.7244,0.716,1.02%
2020-10-08,0.7166,0.7141,0.7171,0.7122,0.39%
2020-10-07,0.7138,0.7102,0.7153,0.7096,0.48%
2020-10-06,0.7104,0.7181,0.721,0.7099,-1.04%
2020-10-05,0.7179,0.7158,0.7194,0.7154,0.24%
2020-10-02,0.7162,0.7184,0.719,0.713,-0.29%
2020-10-01,0.7183,0.7163,0.7211,0.7154,0.31%
2020-09-30,0.7161,0.713,0.7176,0.7099,0.48%
2020-09-29,0.7127,0.7071,0.7139,0.7068,0.81%
2020-09-28,0.707,0.7028,0.7075,0.7009,0.61%
2020-09-25,0.7027,0.7046,0.7088,0.7006,-0.26%
2020-09-24,0.7045,0.7072,0.7083,0.7016,-0.41%
2020-09-23,0.7074,0.7175,0.7179,0.7067,-1.39%
2020-09-22,0.7174,0.7226,0.7236,0.7153,-0.68%
2020-09-21,0.7223,0.7307,0.7326,0.7199,-0.91%
2020-09-18,0.7289,0.7313,0.7335,0.7282,-0.31%
2020-09-17,0.7312,0.7308,0.7316,0.7254,0.10%
2020-09-16,0.7305,0.7302,0.7347,0.7278,0.05%
2020-09-15,0.7301,0.7291,0.7344,0.7266,0.18%
2020-09-14,0.7288,0.7278,0.7304,0.7264,0.07%
2020-09-11,0.7283,0.7256,0.7307,0.725,0.37%
2020-09-10,0.7256,0.7282,0.7326,0.7247,-0.36%
2020-09-09,0.7282,0.7214,0.7289,0.7192,0.94%
2020-09-08,0.7214,0.7276,0.7311,0.721,-0.82%
2020-09-07,0.7274,0.7282,0.73,0.7269,-0.07%
2020-09-04,0.7279,0.7273,0.73,0.7222,0.10%
2020-09-03,0.7272,0.7334,0.734,0.7265,-0.90%
2020-09-02,0.7338,0.7372,0.7383,0.7301,-0.45%
2020-09-01,0.7371,0.7377,0.7415,0.7358,-0.05%
2020-08-31,0.7375,0.7357,0.7404,0.734,0.12%
2020-08-28,0.7366,0.7264,0.7369,0.7254,1.49%
2020-08-27,0.7258,0.7232,0.7291,0.7217,0.37%
2020-08-26,0.7231,0.7196,0.7241,0.7186,0.51%
2020-08-25,0.7194,0.7163,0.7199,0.715,0.46%
2020-08-24,0.7161,0.7155,0.7206,0.7151,0.00%
2020-08-21,0.7161,0.7193,0.7217,0.7139,-0.42%
2020-08-20,0.7191,0.7181,0.7204,0.7135,0.14%
2020-08-19,0.7181,0.7243,0.7276,0.7179,-0.81%
2020-08-18,0.724,0.7214,0.7265,0.7208,0.36%
2020-08-17,0.7214,0.7164,0.7229,0.716,0.60%
2020-08-14,0.7171,0.7149,0.7176,0.7132,0.32%
2020-08-13,0.7148,0.716,0.7189,0.7135,-0.20%
2020-08-12,0.7162,0.7143,0.7177,0.7109,0.28%
2020-08-11,0.7142,0.7151,0.719,0.7135,-0.10%
2020-08-10,0.7149,0.7161,0.7185,0.7139,-0.11%
2020-08-07,0.7157,0.7233,0.7244,0.7144,-1.05%
2020-08-06,0.7233,0.7192,0.724,0.7174,0.58%
