Date,Price,Open,High,Low,Change %
2020-12-31,0.7851,0.7836,0.7867,0.7831,0.19%
2020-12-30,0.7836,0.7801,0.7845,0.7796,0.46%
2020-12-29,0.78,0.7782,0.7826,0.7775,0.22%
2020-12-28,0.7783,0.7771,0.7805,0.7765,0.18%
2020-12-25,0.7769,0.7767,0.7781,0.7767,0.04%
2020-12-24,0.7766,0.7785,0.7806,0.7764,-0.22%
2020-12-23,0.7783,0.7747,0.7793,0.7742,0.46%
2020-12-22,0.7747,0.7779,0.7788,0.7731,-0.39%
2020-12-21,0.7777,0.7824,0.7826,0.7717,-0.55%
2020-12-18,0.782,0.7861,0.7865,0.7813,-0.51%
2020-12-17,0.786,0.7847,0.7883,0.7842,0.20%
2020-12-16,0.7844,0.7872,0.7878,0.7818,-0.37%
2020-12-15,0.7873,0.7833,0.7883,0.7829,0.48%
2020-12-14,0.7835,0.7829,0.7863,0.7818,0.08%
2020-12-11,0.7829,0.7847,0.7864,0.7817,-0.25%
2020-12-10,0.7849,0.7802,0.7872,0.7793,0.60%
2020-12-09,0.7802,0.7801,0.7832,0.7792,0.01%
2020-12-08,0.7801,0.7814,0.7834,0.7796,-0.15%
2020-12-07,0.7813,0.7825,0.7829,0.7792,-0.12%
2020-12-04,0.7822,0.7773,0.7831,0.7767,0.63%
2020-12-03,0.7773,0.774,0.7782,0.7727,0.41%
2020-12-02,0.7741,0.7732,0.7747,0.7716,0.14%
2020-12-01,0.773,0.7691,0.7736,0.7688,0.52%
2020-11-30,0.769,0.7698,0.7739,0.7685,-0.08%
2020-11-27,0.7696,0.7684,0.771,0.7677,0.18%
2020-11-26,0.7682,0.7689,0.7699,0.7678,-0.12%
2020-11-25,0.7691,0.7695,0.7702,0.7674,-0.01%
2020-11-24,0.7692,0.7646,0.7697,0.7638,0.61%
2020-11-23,0.7645,0.7639,0.7666,0.7626,0.14%
2020-11-20,0.7634,0.765,0.7671,0.7634,-0.18%
2020-11-19,0.7648,0.7646,0.7663,0.7619,0.08%
2020-11-18,0.7642,0.7631,0.7674,0.7623,0.16%
2020-11-17,0.763,0.7648,0.7656,0.7624,-0.24%
2020-11-16,0.7648,0.7612,0.7655,0.7609,0.46%
2020-11-13,0.7613,0.7609,0.7625,0.7591,0.05%
2020-11-12,0.7609,0.7657,0.766,0.7604,-0.60%
2020-11-11,0.7655,0.7674,0.7689,0.7646,-0.22%
2020-11-10,0.7672,0.7687,0.7703,0.7661,-0.21%
2020-11-09,0.7688,0.7656,0.7736,0.7651,0.39%
2020-11-06,0.7658,0.7663,0.7682,0.7635,-0.08%
2020-11-05,0.7664,0.761,0.7677,0.7588,0.72%
2020-11-04,0.7609,0.7616,0.7638,0.7519,-0.07%
2020-11-03,0.7614,0.7568,0.7633,0.7556,0.66%
2020-11-02,0.7564,0.751,0.7568,0.7479,0.76%
2020-10-30,0.7507,0.7506,0.7531,0.7491,0.04%
2020-10-29,0.7504,0.7508,0.7533,0.7468,0.00%
2020-10-28,0.7504,0.7584,0.7589,0.7499,-1.04%
2020-10-27,0.7583,0.757,0.761,0.7568,0.18%
2020-10-26,0.7569,0.7612,0.7616,0.756,-0.66%
2020-10-23,0.7619,0.7613,0.763,0.7598,0.08%
2020-10-22,0.7613,0.7606,0.7621,0.7588,0.11%
2020-10-21,0.7605,0.7618,0.7646,0.7602,-0.13%
2020-10-20,0.7615,0.7581,0.7632,0.7573,0.49%
2020-10-19,0.7578,0.758,0.7606,0.7578,-0.05%
2020-10-16,0.7582,0.7564,0.759,0.7554,0.25%
2020-10-15,0.7563,0.7608,0.761,0.7541,-0.55%
2020-10-14,0.7605,0.7611,0.7625,0.7596,-0.07%
2020-10-13,0.761,0.7626,0.7635,0.7606,-0.20%
2020-10-12,0.7625,0.7616,0.7634,0.7608,0.05%
2020-10-09,0.7621,0.7577,0.763,0.7574,0.59%
2020-10-08,0.7576,0.7544,0.758,0.7535,0.44%
2020-10-07,0.7543,0.7514,0.7546,0.7495,0.41%
2020-10-06,0.7512,0.7538,0.7553,0.7509,-0.32%
2020-10-05,0.7536,0.7518,0.7545,0.7516,0.32%
2020-10-02,0.7512,0.7525,0.7533,0.7501,-0.16%
2020-10-01,0.7524,0.7507,0.7538,0.7502,0.21%
2020-09-30,0.7508,0.747,0.7519,0.7451,0.54%
2020-09-29,0.7468,0.748,0.7491,0.7452,-0.11%
2020-09-28,0.7476,0.747,0.749,0.746,0.09%
2020-09-25,0.7469,0.7484,0.7498,0.7452,-0.17%
2020-09-24,0.7482,0.747,0.7506,0.7452,0.17%
2020-09-23,0.7469,0.7516,0.7523,0.747,-0.65%
2020-09-22,0.7518,0.7514,0.753,0.7492,0.07%
2020-09-21,0.7513,0.7581,0.7592,0.7507,-0.78%
2020-09-18,0.7572,0.7595,0.7613,0.757,-0.30%
2020-09-17,0.7595,0.7588,0.7606,0.7548,0.09%
2020-09-16,0.7588,0.7585,0.7619,0.7574,0.07%
2020-09-15,0.7583,0.7589,0.7615,0.7574,-0.07%
2020-09-14,0.7588,0.7583,0.7603,0.7577,0.00%
2020-09-11,0.7588,0.7581,0.7605,0.7571,0.12%
2020-09-10,0.7579,0.7606,0.7624,0.7574,-0.37%
2020-09-09,0.7607,0.7555,0.7609,0.7541,0.70%
2020-09-08,0.7554,0.7634,0.7643,0.7553,-1.05%
2020-09-07,0.7634,0.766,0.7663,0.7624,-0.29%
2020-09-04,0.7656,0.7618,0.7667,0.7609,0.51%
2020-09-03,0.7617,0.7667,0.767,0.7597,-0.63%
2020-09-02,0.7665,0.7655,0.7671,0.7636,0.16%
2020-09-01,0.7653,0.7667,0.7697,0.7641,-0.14%
2020-08-31,0.7664,0.7632,0.7681,0.7631,0.41%
2020-08-28,0.7633,0.7617,0.7666,0.7614,0.20%
2020-08-27,0.7618,0.7609,0.7634,0.7594,0.12%
2020-08-26,0.7609,0.7593,0.7616,0.7572,0.25%
2020-08-25,0.759,0.7566,0.7596,0.7552,0.34%
2020-08-24,0.7564,0.7584,0.7615,0.7553,-0.32%
2020-08-21,0.7588,0.7584,0.76,0.7556,0.05%
2020-08-20,0.7584,0.7567,0.7595,0.7549,0.24%
2020-08-19,0.7566,0.7594,0.7614,0.7559,-0.36%
2020-08-18,0.7593,0.7567,0.7605,0.7557,0.36%
2020-08-17,0.7566,0.7543,0.7581,0.7539,0.40%
2020-08-14,0.7536,0.7566,0.7574,0.7535,-0.34%
2020-08-13,0.7562,0.7551,0.7581,0.7542,0.19%
2020-08-12,0.7548,0.7518,0.756,0.7492,0.41%
2020-08-11,0.7517,0.7491,0.7537,0.7484,0.37%
2020-08-10,0.7489,0.7475,0.7501,0.7465,0.25%
2020-08-07,0.747,0.7516,0.7529,0.7463,-0.59%
2020-08-06,0.7514,0.7536,0.7552,0.7505,-0.31%
2020-08-05,0.7537,0.7508,0.7558,0.7501,0.40%
2020-08-04,0.7507,0.7468,0.751,0.7451,0.54%
2020-08-03,0.7467,0.7462,0.7475,0.7434,0.19%
2020-07-31,0.7453,0.7451,0.748,0.744,0.07%
2020-07-30,0.7448,0.7495,0.7501,0.7429,-0.61%
