Start Day,Start Month,Year,End Month,End Day,Start Date (Temp),End Date (Temp),Start Date (String),End Date (String),INTDSRCNM193N
1,3,1990,3,31,3/1/1990,3/31/1990,3/1/1990,3/30/1990,9
1,4,1990,4,30,4/1/1990,4/30/1990,4/2/1990,4/30/1990,9
1,5,1990,5,31,5/1/1990,5/31/1990,5/1/1990,5/31/1990,9
1,6,1990,6,30,6/1/1990,6/30/1990,6/1/1990,6/29/1990,9
1,7,1990,7,31,7/1/1990,7/31/1990,7/2/1990,7/31/1990,9
1,8,1990,8,31,8/1/1990,8/31/1990,8/1/1990,8/31/1990,7.92
1,9,1990,9,30,9/1/1990,9/30/1990,9/3/1990,9/28/1990,7.92
1,10,1990,10,31,10/1/1990,10/31/1990,10/1/1990,10/31/1990,7.92
1,11,1990,11,30,11/1/1990,11/30/1990,11/1/1990,11/30/1990,7.92
1,12,1990,12,31,12/1/1990,12/31/1990,12/3/1990,12/31/1990,7.92
1,1,1991,1,31,1/1/1991,1/31/1991,1/1/1991,1/31/1991,7.92
1,2,1991,2,28,2/1/1991,2/28/1991,2/1/1991,2/28/1991,7.92
1,3,1991,3,31,3/1/1991,3/31/1991,3/1/1991,3/29/1991,7.92
1,4,1991,4,30,4/1/1991,4/30/1991,4/1/1991,4/30/1991,7.2
1,5,1991,5,31,5/1/1991,5/31/1991,5/1/1991,5/31/1991,7.2
1,6,1991,6,30,6/1/1991,6/30/1991,6/3/1991,6/28/1991,7.2
1,7,1991,7,31,7/1/1991,7/31/1991,7/1/1991,7/31/1991,7.2
1,8,1991,8,31,8/1/1991,8/31/1991,8/1/1991,8/30/1991,7.2
1,9,1991,9,30,9/1/1991,9/30/1991,9/2/1991,9/30/1991,7.2
1,10,1991,10,31,10/1/1991,10/31/1991,10/1/1991,10/31/1991,7.2
1,11,1991,11,30,11/1/1991,11/30/1991,11/1/1991,11/29/1991,7.2
1,12,1991,12,31,12/1/1991,12/31/1991,12/2/1991,12/31/1991,7.2
1,1,1992,1,31,1/1/1992,1/31/1992,1/1/1992,1/31/1992,7.2
1,2,1992,2,29,2/1/1992,2/29/1992,2/3/1992,2/28/1992,7.2
1,3,1992,3,31,3/1/1992,3/31/1992,3/2/1992,3/31/1992,7.2
1,4,1992,4,30,4/1/1992,4/30/1992,4/1/1992,4/30/1992,7.2
1,5,1992,5,31,5/1/1992,5/31/1992,5/1/1992,5/29/1992,7.2
1,6,1992,6,30,6/1/1992,6/30/1992,6/1/1992,6/30/1992,7.2
1,7,1992,7,31,7/1/1992,7/31/1992,7/1/1992,7/31/1992,7.2
1,8,1992,8,31,8/1/1992,8/31/1992,8/3/1992,8/31/1992,7.2
1,9,1992,9,30,9/1/1992,9/30/1992,9/1/1992,9/30/1992,7.2
1,10,1992,10,31,10/1/1992,10/31/1992,10/1/1992,10/30/1992,7.2
1,11,1992,11,30,11/1/1992,11/30/1992,11/2/1992,11/30/1992,7.2
1,12,1992,12,31,12/1/1992,12/31/1992,12/1/1992,12/31/1992,7.2
1,1,1993,1,31,1/1/1993,1/31/1993,1/1/1993,1/29/1993,7.2
1,2,1993,2,28,2/1/1993,2/28/1993,2/1/1993,2/26/1993,7.2
1,3,1993,3,31,3/1/1993,3/31/1993,3/1/1993,3/31/1993,7.2
1,4,1993,4,30,4/1/1993,4/30/1993,4/1/1993,4/30/1993,7.2
1,5,1993,5,31,5/1/1993,5/31/1993,5/3/1993,5/31/1993,8.46
1,6,1993,6,30,6/1/1993,6/30/1993,6/1/1993,6/30/1993,8.46
1,7,1993,7,31,7/1/1993,7/31/1993,7/1/1993,7/30/1993,10.08
1,8,1993,8,31,8/1/1993,8/31/1993,8/2/1993,8/31/1993,10.08
1,9,1993,9,30,9/1/1993,9/30/1993,9/1/1993,9/30/1993,10.08
1,10,1993,10,31,10/1/1993,10/31/1993,10/1/1993,10/29/1993,10.08
1,11,1993,11,30,11/1/1993,11/30/1993,11/1/1993,11/30/1993,10.08
1,12,1993,12,31,12/1/1993,12/31/1993,12/1/1993,12/31/1993,10.08
1,1,1994,1,31,1/1/1994,1/31/1994,1/3/1994,1/31/1994,10.08
1,2,1994,2,28,2/1/1994,2/28/1994,2/1/1994,2/28/1994,10.08
1,3,1994,3,31,3/1/1994,3/31/1994,3/1/1994,3/31/1994,10.08
1,4,1994,4,30,4/1/1994,4/30/1994,4/1/1994,4/29/1994,10.08
1,5,1994,5,31,5/1/1994,5/31/1994,5/2/1994,5/31/1994,10.08
1,6,1994,6,30,6/1/1994,6/30/1994,6/1/1994,6/30/1994,10.08
1,7,1994,7,31,7/1/1994,7/31/1994,7/1/1994,7/29/1994,10.08
1,8,1994,8,31,8/1/1994,8/31/1994,8/1/1994,8/31/1994,10.08
1,9,1994,9,30,9/1/1994,9/30/1994,9/1/1994,9/30/1994,10.08
1,10,1994,10,31,10/1/1994,10/31/1994,10/3/1994,10/31/1994,10.08
1,11,1994,11,30,11/1/1994,11/30/1994,11/1/1994,11/30/1994,10.08
1,12,1994,12,31,12/1/1994,12/31/1994,12/1/1994,12/30/1994,10.08
1,1,1995,1,31,1/1/1995,1/31/1995,1/2/1995,1/31/1995,10.26
1,2,1995,2,28,2/1/1995,2/28/1995,2/1/1995,2/28/1995,10.26
1,3,1995,3,31,3/1/1995,3/31/1995,3/1/1995,3/31/1995,10.26
