date, value
1/2/2020,2.825
1/3/2020,2.787
1/6/2020,2.79
1/7/2020,2.7935
1/8/2020,2.812
1/9/2020,2.802
1/10/2020,2.8135
1/13/2020,2.861
1/14/2020,2.8735
1/15/2020,2.866
1/16/2020,2.847
1/17/2020,2.8455
1/21/2020,2.7935
1/22/2020,2.765
1/23/2020,2.726
1/24/2020,2.684
1/27/2020,2.5965
1/28/2020,2.5795
1/29/2020,2.554
1/30/2020,2.524
1/31/2020,2.517
2/3/2020,2.507
2/4/2020,2.542
2/5/2020,2.5745
2/6/2020,2.593
2/7/2020,2.553
2/10/2020,2.5505
2/11/2020,2.583
2/12/2020,2.6
2/13/2020,2.613
2/14/2020,2.5995
2/18/2020,2.604
2/19/2020,2.606
2/20/2020,2.588
2/21/2020,2.608
2/24/2020,2.577
2/25/2020,2.5788
2/26/2020,2.5729
2/27/2020,2.5715
2/28/2020,2.5412
3/2/2020,2.595
3/3/2020,2.573
3/4/2020,2.586
3/5/2020,2.573
3/6/2020,2.5605
3/9/2020,2.5105
3/10/2020,2.5215
3/11/2020,2.502
3/12/2020,2.4725
3/13/2020,2.464
3/16/2020,2.3925
3/17/2020,2.3135
3/18/2020,2.151
3/19/2020,2.1855
3/20/2020,2.1715
3/23/2020,2.1005
3/24/2020,2.18
3/25/2020,2.204
3/26/2020,2.178
3/27/2020,2.172
3/30/2020,2.1555
3/31/2020,2.228
4/1/2020,2.1745
4/2/2020,2.2185
4/3/2020,2.1925
4/6/2020,2.2175
4/7/2020,2.2725
4/8/2020,2.26
4/9/2020,2.2595
4/13/2020,2.3025
4/14/2020,2.3295
4/15/2020,2.296
4/16/2020,2.291
4/17/2020,2.3445
4/20/2020,2.32
4/21/2020,2.2295
4/22/2020,2.29
4/23/2020,2.312
4/24/2020,2.337
4/27/2020,2.349
4/28/2020,2.3455
4/29/2020,2.3721
4/30/2020,2.346
5/1/2020,2.312
5/4/2020,2.3125
5/5/2020,2.3325
5/6/2020,2.347
5/7/2020,2.3805
5/8/2020,2.406
5/11/2020,2.38
5/12/2020,2.359
5/13/2020,2.346
5/14/2020,2.346
5/15/2020,2.3305
5/18/2020,2.404
5/19/2020,2.418
5/20/2020,2.46
5/21/2020,2.432
5/22/2020,2.3865
5/26/2020,2.4185
5/27/2020,2.382
5/28/2020,2.4135
5/29/2020,2.4255
6/1/2020,2.4705
6/2/2020,2.491
6/3/2020,2.4875
6/4/2020,2.4895
6/5/2020,2.5555
6/8/2020,2.5655
6/9/2020,2.599
6/10/2020,2.6565
6/11/2020,2.5865
6/12/2020,2.6
6/15/2020,2.567
6/16/2020,2.5645
6/17/2020,2.5895
6/18/2020,2.588
6/19/2020,2.611
6/22/2020,2.6525
6/23/2020,2.6585
6/24/2020,2.6505
6/25/2020,2.666
6/26/2020,2.667
6/29/2020,2.6873
6/30/2020,2.7255
7/1/2020,2.734
7/2/2020,2.7485
7/6/2020,2.7745
7/7/2020,2.797
7/8/2020,2.824
7/9/2020,2.8385
7/10/2020,2.8975
7/13/2020,2.955
7/14/2020,2.9325
7/15/2020,2.885
7/16/2020,2.9015
7/17/2020,2.9045
7/20/2020,2.9155
7/21/2020,2.958
7/22/2020,2.9245
7/23/2020,2.9385
7/24/2020,2.8925
7/27/2020,2.8975
7/28/2020,2.9175
7/29/2020,2.919
7/30/2020,2.914
7/31/2020,2.868
8/3/2020,2.912
8/4/2020,2.8945
8/5/2020,2.917
8/6/2020,2.9105
8/7/2020,2.7925
8/10/2020,2.8615
8/11/2020,2.8755
8/12/2020,2.891
8/13/2020,2.807
8/14/2020,2.859
8/17/2020,2.9015
8/18/2020,2.975
8/19/2020,3.023
8/20/2020,2.9745
8/21/2020,2.9175
8/24/2020,2.9265
8/25/2020,2.934
8/26/2020,2.9655
8/27/2020,2.9767
8/28/2020,3.0097
8/31/2020,3.0574
9/1/2020,3.0285
9/2/2020,3.0205
9/3/2020,2.975
9/4/2020,3.062
9/8/2020,3.025
9/9/2020,3.0515
9/10/2020,2.9985
9/11/2020,3.0395
9/14/2020,3.068
9/15/2020,3.063
9/16/2020,3.061
9/17/2020,3.071
9/18/2020,3.116
9/21/2020,3.032
9/22/2020,3.061
9/23/2020,2.993
9/24/2020,2.968
9/25/2020,2.971
9/28/2020,2.99
9/29/2020,2.99
9/30/2020,3.0325
10/1/2020,2.8655
10/2/2020,2.9775
10/5/2020,2.963
10/6/2020,2.9635
10/7/2020,3.033
10/8/2020,3.042
10/9/2020,3.0825
10/12/2020,3.064
10/13/2020,3.0445
10/14/2020,3.0505
10/15/2020,3.0855
10/16/2020,3.0675
10/19/2020,3.086
10/20/2020,3.148
10/21/2020,3.1985
10/22/2020,3.1535
10/23/2020,3.129
10/26/2020,3.0895
10/27/2020,3.0935
10/28/2020,3.064
10/29/2020,3.0565
10/30/2020,3.0475
11/2/2020,3.077
11/3/2020,3.0925
11/4/2020,3.107
11/5/2020,3.11
11/6/2020,3.154
11/9/2020,3.156
11/10/2020,3.1555
11/11/2020,3.134
11/12/2020,3.145
11/13/2020,3.178
11/16/2020,3.222
11/17/2020,3.198
11/18/2020,3.198
11/19/2020,3.202
11/20/2020,3.291
11/23/2020,3.258
11/24/2020,3.3011
11/25/2020,3.3129
11/27/2020,3.4037
11/30/2020,3.4257
12/1/2020,3.473
12/2/2020,3.478
12/3/2020,3.481
12/4/2020,3.516
12/7/2020,3.5095
12/8/2020,3.4935
12/9/2020,3.5085
12/10/2020,3.5695
12/11/2020,3.5235
12/14/2020,3.5215
12/15/2020,3.538
12/16/2020,3.5535
12/17/2020,3.5965
12/18/2020,3.6275
12/21/2020,3.5725
12/22/2020,3.5165
12/23/2020,3.5525
12/24/2020,3.5585
12/28/2020,3.5678
12/29/2020,3.5519
12/30/2020,3.5466
12/31/2020,3.518
