Date,Price,Open,High,Low,Change %
2020-12-31,1.2214,1.2299,1.2309,1.2209,-0.66%
2020-12-30,1.2295,1.2248,1.2311,1.2246,0.39%
2020-12-29,1.2247,1.2217,1.2276,1.2207,0.27%
2020-12-28,1.2214,1.2202,1.2251,1.2181,0.08%
2020-12-25,1.2204,1.2186,1.2212,1.2165,0.15%
2020-12-24,1.2186,1.2188,1.2217,1.2177,0.01%
2020-12-23,1.2185,1.2163,1.2221,1.2154,0.20%
2020-12-22,1.2161,1.2244,1.2257,1.2151,-0.66%
2020-12-21,1.2242,1.2242,1.2254,1.2129,-0.11%
2020-12-18,1.2255,1.2268,1.2273,1.2225,-0.09%
2020-12-17,1.2266,1.2199,1.2274,1.2191,0.57%
2020-12-16,1.2197,1.2152,1.2213,1.2125,0.38%
2020-12-15,1.2151,1.2143,1.217,1.2121,0.07%
2020-12-14,1.2143,1.2131,1.2177,1.2115,0.26%
2020-12-11,1.2111,1.2137,1.2163,1.2105,-0.21%
2020-12-10,1.2136,1.2083,1.216,1.2075,0.46%
2020-12-09,1.2081,1.2103,1.2148,1.2059,-0.17%
2020-12-08,1.2101,1.2109,1.2134,1.2095,-0.06%
2020-12-07,1.2108,1.2128,1.2167,1.2078,-0.10%
2020-12-04,1.212,1.2142,1.2178,1.211,-0.16%
2020-12-03,1.214,1.2115,1.2177,1.21,0.21%
2020-12-02,1.2115,1.207,1.2119,1.204,0.37%
2020-12-01,1.207,1.1928,1.2077,1.1926,1.19%
2020-11-30,1.1928,1.1957,1.2004,1.1924,-0.28%
2020-11-27,1.1962,1.1914,1.1965,1.1907,0.41%
2020-11-26,1.1913,1.1916,1.1941,1.1884,0.00%
2020-11-25,1.1913,1.1891,1.1931,1.1882,0.21%
2020-11-24,1.1888,1.1842,1.1897,1.1837,0.41%
2020-11-23,1.184,1.1853,1.1906,1.18,-0.11%
2020-11-20,1.1853,1.1875,1.1891,1.1849,-0.17%
2020-11-19,1.1873,1.1853,1.1883,1.1816,0.18%
2020-11-18,1.1852,1.1863,1.1892,1.1848,-0.08%
2020-11-17,1.1861,1.1852,1.1895,1.1842,0.07%
2020-11-16,1.1853,1.1829,1.1869,1.1813,0.18%
