Year,Quarter,Start Month,Start Day,End Month ,End Day,Start Date (Temp),End Date (Temp),Start Date (String),End Date (String),Start Date (String),End Date (String),Gold Reserves
2000,Q1,1,1,3,31,1/1/2000,3/31/2000,3-Jan,31-Mar,3-Jan,30-Mar,"297,573.8"
2000,Q2,4,1,6,30,4/1/2000,6/30/2000,3-Apr,30-Jun,3-Apr,29-Jun,"308,196.1"
2000,Q3,7,1,9,30,7/1/2000,9/30/2000,3-Jul,29-Sep,3-Jul,29-Sep,"293,062.0"
2000,Q4,10,1,12,31,10/1/2000,12/31/2000,2-Oct,29-Dec,2-Oct,29-Dec,"293,061.6"
2001,Q1,1,1,3,31,1/1/2001,3/31/2001,1-Jan,30-Mar,2-Jan,30-Mar,"273,950.3"
2001,Q2,4,1,6,30,4/1/2001,6/30/2001,2-Apr,29-Jun,2-Apr,29-Jun,"287,330.7"
2001,Q3,7,1,9,30,7/1/2001,9/30/2001,2-Jul,28-Sep,2-Jul,28-Sep,"310,180.8"
2001,Q4,10,1,12,31,10/1/2001,12/31/2001,1-Oct,31-Dec,2-Oct,28-Dec,"292,768.8"
2002,Q1,1,1,3,31,1/1/2002,3/31/2002,1-Jan,29-Mar,2-Jan,29-Mar,"317,993.5"
2002,Q2,4,1,6,30,4/1/2002,6/30/2002,1-Apr,28-Jun,2-Apr,28-Jun,"334,195.0"
2002,Q3,7,1,9,30,7/1/2002,9/30/2002,1-Jul,30-Sep,2-Jul,27-Sep,"338,823.0"
2002,Q4,10,1,12,31,10/1/2002,12/31/2002,1-Oct,31-Dec,2-Oct,30-Dec,"363,503.2"
2003,Q1,1,1,3,31,1/1/2003,3/31/2003,1-Jan,31-Mar,2-Jan,28-Mar,"349,106.4"
2003,Q2,4,1,6,30,4/1/2003,6/30/2003,1-Apr,30-Jun,2-Apr,27-Jun,"359,236.0"
2003,Q3,7,1,9,30,7/1/2003,9/30/2003,1-Jul,30-Sep,2-Jul,29-Sep,"400,913.9"
2003,Q4,10,1,12,31,10/1/2003,12/31/2003,1-Oct,31-Dec,2-Oct,30-Dec,"428,331.5"
2004,Q1,1,1,3,31,1/1/2004,3/31/2004,1-Jan,31-Mar,2-Jan,30-Mar,"434,582.3"
2004,Q2,4,1,6,30,4/1/2004,6/30/2004,1-Apr,30-Jun,2-Apr,29-Jun,"405,705.9"
2004,Q3,7,1,9,30,7/1/2004,9/30/2004,1-Jul,30-Sep,2-Jul,29-Sep,"424,959.5"
2004,Q4,10,1,12,31,10/1/2004,12/31/2004,1-Oct,31-Dec,4-Oct,30-Dec,"440,977.2"
2005,Q1,1,1,3,31,1/1/2005,3/31/2005,3-Jan,31-Mar,3-Jan,30-Mar,"429,589.3"
2005,Q2,4,1,6,30,4/1/2005,6/30/2005,1-Apr,30-Jun,4-Apr,29-Jun,"437,201.5"
2005,Q3,7,1,9,30,7/1/2005,9/30/2005,1-Jul,30-Sep,4-Jul,29-Sep,"472,406.1"
2005,Q4,10,1,12,31,10/1/2005,12/31/2005,3-Oct,30-Dec,3-Oct,30-Dec,"509,383.2"
2006,Q1,1,1,3,31,1/1/2006,3/31/2006,2-Jan,31-Mar,2-Jan,30-Mar,"576,121.3"
2006,Q2,4,1,6,30,4/1/2006,6/30/2006,3-Apr,30-Jun,3-Apr,29-Jun,"605,348.7"
2006,Q3,7,1,9,30,7/1/2006,9/30/2006,3-Jul,29-Sep,3-Jul,29-Sep,"589,215.8"
2006,Q4,10,1,12,31,10/1/2006,12/31/2006,2-Oct,29-Dec,2-Oct,29-Dec,"620,126.6"
