"Date","Price","Open","High","Low","Change %"
"Dec 31, 2020","0.361","0.370","0.373","0.358","-2.57%"
"Dec 30, 2020","0.370","0.378","0.389","0.369","-2.88%"
"Dec 29, 2020","0.381","0.378","0.386","0.373","6.69%"
"Dec 28, 2020","0.357","0.373","0.385","0.357","-3.87%"
"Dec 27, 2020","0.372","0.370","0.372","0.370","2.20%"
"Dec 24, 2020","0.364","0.375","0.377","0.362","-2.15%"
"Dec 23, 2020","0.372","0.364","0.388","0.356","1.75%"
"Dec 22, 2020","0.365","0.380","0.383","0.362","-4.20%"
"Dec 21, 2020","0.381","0.373","0.386","0.342","1.71%"
"Dec 20, 2020","0.375","0.375","0.375","0.375","-1.68%"
"Dec 18, 2020","0.381","0.378","0.385","0.367","0.85%"
"Dec 17, 2020","0.378","0.367","0.388","0.353","2.60%"
"Dec 16, 2020","0.369","0.367","0.393","0.361","0.44%"
"Dec 15, 2020","0.367","0.362","0.377","0.356","1.30%"
"Dec 14, 2020","0.362","0.372","0.389","0.356","-2.13%"
"Dec 13, 2020","0.370","0.372","0.372","0.370","1.73%"
"Dec 11, 2020","0.364","0.386","0.388","0.350","-5.36%"
"Dec 10, 2020","0.384","0.397","0.405","0.380","-5.48%"
"Dec 09, 2020","0.407","0.400","0.416","0.397","3.25%"
"Dec 08, 2020","0.394","0.388","0.397","0.373","0.79%"
"Dec 07, 2020","0.391","0.421","0.423","0.388","-7.50%"
"Dec 04, 2020","0.423","0.396","0.434","0.391","6.83%"
"Dec 03, 2020","0.396","0.415","0.423","0.392","-4.95%"
"Dec 02, 2020","0.416","0.416","0.435","0.407","-0.74%"
"Dec 01, 2020","0.419","0.364","0.430","0.358","15.22%"
"Nov 30, 2020","0.364","0.370","0.380","0.358","-1.73%"
"Nov 29, 2020","0.370","0.370","0.370","0.370","0.43%"
"Nov 27, 2020","0.369","0.381","0.383","0.367","-2.90%"
"Nov 26, 2020","0.380","0.377","0.380","0.377","-3.24%"
"Nov 25, 2020","0.392","0.400","0.407","0.377","-1.97%"
"Nov 24, 2020","0.400","0.399","0.402","0.389","3.28%"
"Nov 23, 2020","0.388","0.362","0.392","0.362","3.89%"
"Nov 22, 2020","0.373","0.373","0.373","0.373","0.00%"
"Nov 20, 2020","0.373","0.370","0.386","0.368","-2.05%"
"Nov 19, 2020","0.381","0.387","0.394","0.375","-3.62%"
"Nov 18, 2020","0.395","0.382","0.405","0.371","3.78%"
"Nov 17, 2020","0.381","0.405","0.414","0.379","-6.64%"
"Nov 16, 2020","0.408","0.408","0.422","0.387","-0.37%"
"Nov 15, 2020","0.409","0.409","0.409","0.409","0.00%"
"Nov 13, 2020","0.409","0.395","0.409","0.382","4.12%"
"Nov 12, 2020","0.393","0.443","0.446","0.392","-13.35%"
"Nov 11, 2020","0.454","0.454","0.454","0.454","0.00%"
"Nov 10, 2020","0.454","0.428","0.462","0.419","6.03%"
"Nov 09, 2020","0.428","0.364","0.465","0.345","17.00%"
"Nov 08, 2020","0.366","0.367","0.369","0.366","1.33%"
"Nov 06, 2020","0.361","0.326","0.375","0.326","9.69%"
"Nov 05, 2020","0.329","0.323","0.345","0.307","-0.93%"
